id,name,description,category,module,is_active,created_at,updated_at
defed700-492b-46a1-8c41-7b18efc3d913,accommodation_submitted,Accommodation request submitted,approval,accommodation,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
f56da3c4-2cb2-48c5-8344-851713d6a652,accommodation_approved,Accommodation request approved,status_update,accommodation,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
003ab0a4-05e1-44de-a004-3ce654ccb800,accommodation_booked,Accommodation has been booked,status_update,accommodation,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
a542c01b-a677-4a58-b347-3ab745ef4db0,accommodation_rejected,Accommodation request rejected,status_update,accommodation,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
de4a27a5-c09a-4ddb-8cdb-fe9c3ee901ea,claim_submitted,Expense claim submitted,approval,claims,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
50c6943c-0576-4733-a55d-b10bf3448861,claim_approved_focal,Claim approved by department focal,status_update,claims,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
651fb30d-fd28-40b9-b679-d35acb64d108,claim_approved_hod,Claim approved by HOD,status_update,claims,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
f1904895-febf-477c-9898-263d1c19ff76,claim_approved_manager,Claim approved by manager,status_update,claims,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
67e14b3d-8462-416d-aa38-d66faf43efcc,claim_paid,Expense claim has been paid,status_update,claims,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
f2b7d6ab-8edb-48e1-ace6-896128699fcd,claim_rejected,Expense claim rejected,status_update,claims,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
f52133ec-c8f1-48ad-8c42-ee3df05a2baa,deadline_reminder,Deadline reminder for pending approvals,reminder,general,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
07907496-d605-42fa-8fec-8009138e57b9,account_created,New user account created,system,general,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
f30e4713-304b-4160-8497-0e923a6a1cb4,password_reset,Password reset requested,system,general,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
e5c0a82a-8b76-4b55-a1e7-56e6d8989b58,system_maintenance,System maintenance notification,system,general,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
8ec92931-8bf4-49a8-8ef0-b974f41ff346,transport_submitted,Transport request submitted,approval,transport,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
8c760be2-9d3b-41ad-9cef-0a21fa97f4a6,transport_approved,Transport request approved,status_update,transport,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
ec3dddfa-79a3-44c2-b150-0af971a58512,transport_rejected,Transport request rejected,status_update,transport,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
5dde7802-3f79-4506-96df-21ccb175c8ab,transport_scheduled,Transport has been scheduled,status_update,transport,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
f8180a84-8fce-4ec2-a569-6759017a7028,trf_needs_booking,Travel request approved - needs flight booking,approval,trf,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
39a5d5de-7b9f-4e60-a597-154e3b031ba4,trf_submitted,Travel request submitted,approval,trf,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
ead50a7f-f3ac-477c-a2cc-a2b39d59fc23,trf_approved_focal,Travel request approved by department focal,status_update,trf,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
353c4767-504e-45c6-9301-7951a2e9fa30,trf_approved_hod,Travel request approved by HOD,status_update,trf,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
97f179d6-2325-4e53-844d-c50c53bacead,trf_approved_manager,Travel request approved by manager,status_update,trf,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
3096df5c-f6e1-4a43-80b9-658f7abfa11b,trf_booking_completed,Flight booking completed for travel request,status_update,trf,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
b7132435-825c-4362-a7ae-21444487e55c,trf_rejected,Travel request rejected,status_update,trf,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
86698e5a-7c3b-443a-b1ed-ed91c3e3b707,visa_submitted,Visa application submitted,approval,visa,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
e7ff0e8e-94ea-4f9e-a875-aae06fb4b913,visa_approved,Visa application approved,status_update,visa,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
56917472-a6a0-44ed-8e6c-a19f05782ad5,visa_processing,Visa application under processing,status_update,visa,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
fd0ea310-4136-4b16-a74a-419d545f671d,visa_ready,Visa is ready for collection,status_update,visa,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
82def59a-dddb-4c3c-bcf2-70883d5e8cfe,visa_rejected,Visa application rejected,status_update,visa,t,2025-08-20 11:04:07.226209+05,2025-08-20 11:04:07.226209+05
